latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-12.90704,134.55304,354.35,0.36,0.58,2026-07-17,0523,N,nominal,2.0NRT,298.36,10.01,D
-12.3234,132.79091,336.1,0.57,0.52,2026-07-17,0523,N,nominal,2.0NRT,301.94,8.79,D
-11.54899,131.16875,336.77,0.46,0.47,2026-07-17,0523,N,nominal,2.0NRT,298.75,3.11,D
-23.18474,134.29259,340.84,0.45,0.47,2026-07-17,0521,N,nominal,2.0NRT,298.35,7.74,D
-23.18563,134.28812,336.55,0.45,0.47,2026-07-17,0521,N,nominal,2.0NRT,296.13,4.13,D
-23.18045,134.2916,329.93,0.45,0.47,2026-07-17,0521,N,nominal,2.0NRT,294.69,3.98,D
-23.18133,134.28714,335.25,0.45,0.47,2026-07-17,0521,N,nominal,2.0NRT,294.54,3.73,D
-22.07192,136.38945,331.85,0.63,0.54,2026-07-17,0521,N,nominal,2.0NRT,298.39,9.77,D
-22.06693,136.3882,367,0.63,0.54,2026-07-17,0521,N,high,2.0NRT,300.97,9.77,D
-22.06194,136.38693,340.65,0.63,0.54,2026-07-17,0521,N,nominal,2.0NRT,297.11,5.91,D
-22.06923,136.38608,339.26,0.63,0.54,2026-07-17,0521,N,nominal,2.0NRT,299.95,8.28,D
-22.06425,136.38483,345.7,0.63,0.54,2026-07-17,0521,N,nominal,2.0NRT,299.39,8.28,D
-21.32072,132.73415,344.99,0.39,0.44,2026-07-17,0521,N,nominal,2.0NRT,303.74,4.74,D
-22.34873,119.68099,333.05,0.55,0.51,2026-07-17,0521,N,low,2.0NRT,307.1,4.94,D
-19.99239,134.41701,338.04,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,302.69,4.93,D
-19.97344,134.4393,340.48,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,302.67,4.85,D
-19.96883,134.43829,332.45,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,300.34,4.29,D
-19.96421,134.43729,330.25,0.53,0.5,2026-07-17,0521,N,low,2.0NRT,301.7,4.29,D
-19.96524,134.43222,344.65,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,301.13,9.48,D
-19.96371,134.41603,342.91,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,303.31,8.84,D
-19.9591,134.41502,341.46,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,300.99,8.84,D
-19.96013,134.40997,344.77,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,302.96,9.1,D
-19.96422,134.38983,330.72,0.52,0.5,2026-07-17,0521,N,low,2.0NRT,302.57,3.66,D
-19.96525,134.3848,333.94,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,301.73,3.66,D
-19.97118,134.43692,346.12,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,303.04,6.61,D
-19.96755,134.43085,342.61,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,302.93,12.12,D
-19.96393,134.42473,331.04,0.53,0.5,2026-07-17,0521,N,low,2.0NRT,301.91,4.17,D
-19.9613,134.41357,356.2,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,304.52,16.04,D
-19.96625,134.38832,334.63,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,301.31,7.84,D
-19.95769,134.40749,355.42,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,304.23,16.04,D
-19.96362,134.37721,344.87,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,300.58,9.51,D
-19.95309,134.40646,330.84,0.53,0.5,2026-07-17,0521,N,nominal,2.0NRT,299.22,2.78,D
-19.95606,134.39133,330.11,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,301.88,11.77,D
-19.95704,134.38631,331.7,0.52,0.5,2026-07-17,0521,N,low,2.0NRT,303.26,11.77,D
-19.95145,134.3903,342.83,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,300.85,11.77,D
-19.95244,134.38528,350.55,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,310.59,11.77,D
-19.95344,134.38022,345.78,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,306.61,17.7,D
-19.95443,134.37517,344.89,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,303.55,17.7,D
-19.95543,134.37012,338.19,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,300.17,5.54,D
-19.94884,134.3792,367,0.52,0.5,2026-07-17,0521,N,high,2.0NRT,308.96,68,D
-19.94784,134.38426,351.31,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,305.12,36.01,D
-19.95083,134.36909,332.89,0.52,0.5,2026-07-17,0521,N,nominal,2.0NRT,297.41,3.03,D
-19.72658,134.51347,352.9,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,304.58,15.7,D
-19.72764,134.50829,344.74,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,304.22,15.7,D
-19.72192,134.51247,367,0.54,0.51,2026-07-17,0521,N,high,2.0NRT,303.89,15.7,D
-19.72297,134.50728,342.42,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,305.26,15.7,D
-19.72403,134.50209,353.97,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,304.96,10.82,D
-19.73024,134.51123,348.32,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,303.84,8.84,D
-20.93276,127.66779,331.54,0.39,0.36,2026-07-17,0521,N,nominal,2.0NRT,304.08,1.35,D
-19.72455,134.51543,345.99,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,303.14,21.6,D
-19.72558,134.51021,352.58,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,307.81,21.6,D
-20.92942,127.66721,340.29,0.39,0.36,2026-07-17,0521,N,nominal,2.0NRT,304.22,4.11,D
-19.71989,134.51439,337.35,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,299.48,21.6,D
-19.72092,134.50919,355.93,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,308.6,21.6,D
-19.72194,134.504,356.86,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,303.58,37.36,D
-19.72296,134.49879,354.42,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,314.4,37.36,D
-19.70599,134.56024,330.38,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,299.13,5.71,D
-19.71626,134.50815,353.32,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,304.33,19.32,D
-19.71729,134.50296,352.95,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,300.58,22.22,D
-19.7183,134.49776,352.69,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,303.26,22.22,D
-19.71365,134.49672,330.97,0.54,0.51,2026-07-17,0521,N,nominal,2.0NRT,297.15,22.22,D
-20.62158,127.83424,354.61,0.39,0.36,2026-07-17,0521,N,nominal,2.0NRT,306.29,5.65,D
-19.2854,134.64255,345.26,0.56,0.51,2026-07-17,0521,N,nominal,2.0NRT,304.05,9.97,D
-19.28175,134.63618,344.42,0.56,0.51,2026-07-17,0521,N,nominal,2.0NRT,304.7,8.81,D
-19.286,134.63997,341.09,0.56,0.51,2026-07-17,0521,N,nominal,2.0NRT,304.93,7.94,D
-19.28126,134.63895,344.33,0.56,0.51,2026-07-17,0521,N,nominal,2.0NRT,303.42,7.94,D
-18.1318,137.85999,335.51,0.47,0.64,2026-07-17,0521,N,nominal,2.0NRT,302.74,3.27,D
-18.13279,137.85542,331.77,0.47,0.64,2026-07-17,0521,N,nominal,2.0NRT,300.7,3.27,D
-17.91267,137.26205,329.89,0.44,0.62,2026-07-17,0521,N,low,2.0NRT,300.76,8.21,D
-17.90874,137.25243,367,0.43,0.62,2026-07-17,0521,N,high,2.0NRT,307.53,17.31,D
-17.89606,137.31119,337.93,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,300.26,3.19,D
-17.89696,137.30704,338.22,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,301.04,3.19,D
-17.8997,137.29433,330.33,0.44,0.62,2026-07-17,0521,N,low,2.0NRT,301.46,2.4,D
-17.90062,137.29007,333.26,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,301.9,2.4,D
-17.90154,137.28581,331.12,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.19,4.59,D
-17.90785,137.25658,339.7,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,303.61,8.21,D
-17.90963,137.24832,358.06,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,302.43,17.31,D
-17.91051,137.2442,337.68,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,298.8,2.48,D
-17.9114,137.2401,330.58,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,297.76,2.48,D
-17.90746,137.23055,367,0.43,0.62,2026-07-17,0521,N,high,2.0NRT,300.61,6.25,D
-17.90391,137.24699,343.73,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,301.62,9.39,D
-17.90568,137.2388,330.15,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.49,8.69,D
-17.90657,137.2347,339.98,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,300.98,6.25,D
-17.89281,137.27054,338.38,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,300.61,4.1,D
-17.90085,137.23337,331.6,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.5,6.25,D
-17.90174,137.22925,356.74,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,300.8,6.25,D
-17.90264,137.22513,356.79,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.88,7.39,D
-17.90353,137.22101,339.28,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,296.42,7.39,D
-17.89603,137.22794,367,0.43,0.62,2026-07-17,0521,N,high,2.0NRT,306.24,15.59,D
-17.89782,137.2197,367,0.43,0.62,2026-07-17,0521,N,high,2.0NRT,320.8,39.8,D
-17.8889,137.26085,346.64,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,301.95,7.07,D
-17.88979,137.25673,335.12,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,304.35,4.71,D
-17.89425,137.23615,341.77,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,296.96,5.56,D
